Time,INV/4/DayEnergy (kWh)
2022-07-05 05:40:00,0.0
2022-07-05 05:50:00,0.0
2022-07-05 06:00:00,0.0
2022-07-05 06:10:00,0.0
2022-07-05 06:30:00,0.0
2022-07-05 06:40:00,0.0
2022-07-05 06:50:00,19.51341621279084
2022-07-05 07:00:00,17.73946928435531
2022-07-05 07:20:00,17.73946928435531
2022-07-05 07:30:00,35.47893856871062
2022-07-05 07:40:00,35.47893856871062
2022-07-05 07:50:00,44.64527713732268
2022-07-05 08:10:00,63.39128390887232
2022-07-05 08:20:00,53.21840785306592
2022-07-05 08:30:00,70.95787713742124
2022-07-05 08:40:00,86.09212796267614
2022-07-05 08:50:00,73.56309559652162
2022-07-05 09:10:00,99.63692234005276
2022-07-05 09:20:00,95.4972397878556
2022-07-05 09:30:00,106.4368157061318
2022-07-05 09:40:00,106.4368157061318
2022-07-05 09:50:00,106.4368157061318
2022-07-05 10:00:00,124.1762849904871
2022-07-05 10:10:00,117.377633387258
2022-07-05 10:20:00,121.5598019683911
2022-07-05 10:30:00,133.5914196158123
2022-07-05 10:40:00,124.1762849904871
2022-07-05 10:50:00,125.9502319189227
2022-07-05 11:00:00,140.1418073464069
2022-07-05 11:10:00,143.689701203278
2022-07-05 11:20:00,132.571843618694
2022-07-05 11:30:00,133.5201956466356
2022-07-05 11:50:00,143.3665767702633
2022-07-05 12:00:00,141.4815807641078
2022-07-05 12:10:00,136.671523667655
2022-07-05 12:20:00,152.8822054890848
2022-07-05 12:30:00,142.7472032002
2022-07-05 12:40:00,143.689701203278
2022-07-05 12:50:00,140.1418073464069
2022-07-05 13:00:00,143.689701203278
2022-07-05 13:10:00,141.9157542748425
2022-07-05 13:20:00,141.9157542748425
2022-07-05 13:40:00,141.0096221837976
2022-07-05 13:50:00,129.7067419345778
2022-07-05 14:00:00,137.2914294217967
2022-07-05 14:10:00,141.9157542748425
2022-07-05 14:20:00,124.1762849904871
2022-07-05 14:30:00,141.9157542748425
2022-07-05 14:40:00,124.1762849904871
2022-07-05 14:50:00,124.1762849904871
2022-07-05 15:00:00,124.1762849904871
2022-07-05 15:10:00,124.1762849904871
2022-07-05 15:20:00,114.7610616678157
2022-07-05 15:30:00,117.6259859572388
2022-07-05 15:40:00,104.6628687776963
2022-07-05 15:50:00,106.4368157061318
2022-07-05 16:00:00,106.4368157061318
2022-07-05 16:10:00,99.63887368167386
2022-07-05 16:20:00,95.49528844623451
2022-07-05 16:30:00,88.69734642177653
2022-07-05 16:40:00,70.95787713742124
2022-07-05 16:50:00,88.69734642177653
2022-07-05 17:00:00,71.18919981688924
2022-07-05 17:10:00,52.98708517359791
2022-07-05 17:20:00,70.95787713742124
2022-07-05 17:30:00,54.99235478150145
2022-07-05 17:40:00,33.70499164027508
2022-07-05 17:50:00,54.99235478150145
2022-07-05 18:00:00,15.96552235591978
2022-07-05 18:10:00,35.47893856871062
2022-07-05 18:20:00,19.51341621279084
2022-07-05 18:30:00,17.73946928435531
2022-07-05 18:40:00,15.96552235591978
2022-07-05 18:50:00,0.0
2022-07-05 19:00:00,17.73946928435531
2022-07-05 19:10:00,0.0
2022-07-05 19:20:00,0.0
2022-07-05 19:30:00,0.0
2022-07-05 19:40:00,17.73946928435531
2022-07-05 19:50:00,0.0
2022-07-05 20:00:00,0.0
2022-07-05 20:10:00,0.0
2022-07-05 20:20:00,0.0
2022-07-05 20:30:00,0.0
2022-07-05 20:40:00,0.0
2022-07-05 20:50:00,0.0
2022-07-05 21:00:00,0.0
2022-07-05 21:10:00,0.0
2022-07-05 21:20:00,0.0
2022-07-05 21:30:00,0.0
2022-07-05 21:40:00,0.0
2022-07-05 21:50:00,0.0
2022-07-05 22:00:00,0.0
2022-07-05 22:10:00,0.0
2022-07-05 22:20:00,0.0
2022-07-05 22:30:00,0.0
2022-07-05 22:40:00,0.0
2022-07-05 22:50:00,0.0
2022-07-05 23:00:00,0.0
2022-07-05 23:10:00,0.0
2022-07-05 23:20:00,0.0
2022-07-05 23:30:00,0.0
2022-07-05 23:40:00,0.0
2022-07-05 23:50:00,0.0
2022-07-06 00:20:00,0.0
2022-07-06 00:30:00,0.0
2022-07-06 00:40:00,0.0
2022-07-06 00:50:00,0.0
2022-07-06 01:00:00,0.0
2022-07-06 01:10:00,0.0
2022-07-06 01:20:00,0.0
2022-07-06 01:30:00,0.0
2022-07-06 01:40:00,0.0
2022-07-06 01:50:00,0.0
2022-07-06 02:00:00,0.0
2022-07-06 02:10:00,0.0
2022-07-06 02:20:00,0.0
2022-07-06 02:30:00,0.0
2022-07-06 02:40:00,0.0
2022-07-06 02:50:00,0.0
2022-07-06 03:00:00,0.0
2022-07-06 03:10:00,0.0
2022-07-06 03:20:00,0.0
2022-07-06 03:30:00,0.0
2022-07-06 03:40:00,0.0
2022-07-06 03:50:00,0.0
2022-07-06 04:00:00,0.0
2022-07-06 04:10:00,0.0
2022-07-06 04:20:00,0.0
2022-07-06 04:30:00,0.0
2022-07-06 04:40:00,0.0
2022-07-06 04:50:00,0.0
2022-07-06 05:00:00,0.0
2022-07-06 05:10:00,0.0
2022-07-06 05:20:00,0.0
2022-07-06 05:30:00,0.0
2022-07-06 05:40:00,0.0
2022-07-06 05:50:00,0.0
2022-07-06 06:00:00,0.0
2022-07-06 06:10:00,0.0
2022-07-06 06:20:00,0.0
2022-07-06 06:30:00,19.51341621279084
2022-07-06 06:40:00,0.0
2022-07-06 06:50:00,17.73946928435531
2022-07-06 07:00:00,0.0
2022-07-06 07:10:00,17.73946928435531
2022-07-06 07:20:00,33.70499164027508
2022-07-06 07:30:00,30.45379040718486
2022-07-06 07:40:00,40.50408673023637
2022-07-06 07:50:00,37.25288549714615
2022-07-06 08:00:00,51.44446092463039
2022-07-06 08:10:00,54.99235478150145
2022-07-06 08:30:00,70.95787713742124
2022-07-06 08:40:00,72.73182406585676
2022-07-06 08:50:00,81.8985174238545
2022-07-06 09:10:00,98.87031117492936
2022-07-06 09:20:00,88.69734642177653
2022-07-06 09:30:00,106.4368157061318
2022-07-06 09:40:00,104.6628687776963
2022-07-06 09:50:00,106.4368157061318
2022-07-06 10:00:00,125.9502319189227
2022-07-06 10:10:00,108.595531723345
2022-07-06 10:20:00,120.2436220448384
2022-07-06 10:30:00,125.9502319189227
2022-07-06 10:40:00,131.7434991004611
2022-07-06 10:50:00,134.3485401648685
2022-07-06 11:00:00,124.1762849904871
2022-07-06 11:10:00,141.9157542748425
2022-07-06 11:20:00,140.3725978417966
2022-07-06 11:30:00,127.4933883519686
2022-07-06 11:40:00,140.1418073464069
2022-07-06 11:50:00,143.689701203278
2022-07-06 12:00:00,140.1418073464069
2022-07-06 12:10:00,141.9157542748425
2022-07-06 12:30:00,141.9157542748425
2022-07-06 12:40:00,143.689701203278
2022-07-06 12:50:00,140.1418073464069
2022-07-06 13:10:00,141.5490794447345
2022-07-06 13:20:00,142.2824291049504
2022-07-06 13:30:00,140.1418073464069
2022-07-06 13:40:00,141.0885628221129
2022-07-06 13:50:00,125.0034764432167
2022-07-06 14:00:00,143.689701203278
2022-07-06 14:10:00,127.0288803487576
2022-07-06 14:20:00,139.063158916572
2022-07-06 14:30:00,124.1762849904871
2022-07-06 14:40:00,133.5892908794984
2022-07-06 14:50:00,114.7632791014759
2022-07-06 15:00:00,122.4023380620516
2022-07-06 15:10:00,125.9502319189227
2022-07-06 15:20:00,106.4368157061318
2022-07-06 15:30:00,117.377899479297
2022-07-06 15:40:00,110.0717216598429
2022-07-06 15:50:00,91.8608259792557
2022-07-06 16:00:00,104.6628687776963
2022-07-06 16:10:00,88.69734642177653
2022-07-06 16:20:00,107.2146027369046
2022-07-06 16:30:00,70.18009010664849
2022-07-06 16:40:00,90.47129335021206
2022-07-06 16:50:00,70.95787713742124
2022-07-06 17:00:00,70.95787713742124
2022-07-06 17:10:00,54.99235478150145
2022-07-06 17:20:00,69.1839302089857
2022-07-06 17:30:00,53.21840785306592
2022-07-06 17:40:00,35.47893856871062
2022-07-06 17:50:00,35.47893856871062
2022-07-06 18:10:00,35.47893856871062
2022-07-06 18:20:00,19.51341621279084
2022-07-06 18:40:00,17.73946928435531
2022-07-06 18:50:00,0.0
2022-07-06 19:00:00,17.73946928435531
2022-07-06 19:10:00,0.0
2022-07-06 19:20:00,0.0
2022-07-06 19:30:00,0.0
2022-07-06 19:40:00,17.73946928435531
2022-07-06 19:50:00,0.0
2022-07-06 20:00:00,0.0
2022-07-06 20:10:00,0.0
2022-07-06 20:20:00,0.0
2022-07-06 20:30:00,0.0
2022-07-06 20:40:00,0.0
2022-07-06 20:50:00,0.0
2022-07-06 21:00:00,0.0
2022-07-06 21:10:00,0.0
2022-07-06 21:20:00,0.0
2022-07-06 21:30:00,0.0
2022-07-06 21:40:00,0.0
2022-07-06 21:50:00,0.0
2022-07-06 22:00:00,0.0
2022-07-06 22:10:00,0.0
2022-07-06 22:20:00,0.0
2022-07-06 22:30:00,0.0
2022-07-06 22:40:00,0.0
2022-07-06 22:50:00,0.0
2022-07-06 23:00:00,0.0
2022-07-06 23:10:00,0.0
2022-07-06 23:20:00,0.0
2022-07-06 23:30:00,0.0
2022-07-06 23:40:00,0.0
2022-07-06 23:50:00,0.0
2022-07-07 00:20:00,0.0
2022-07-07 00:30:00,0.0
2022-07-07 00:40:00,0.0
2022-07-07 00:50:00,0.0
2022-07-07 01:00:00,0.0
2022-07-07 01:10:00,0.0
2022-07-07 01:20:00,0.0
2022-07-07 01:30:00,0.0
2022-07-07 01:40:00,0.0
2022-07-07 01:50:00,0.0
2022-07-07 02:00:00,0.0
2022-07-07 02:10:00,0.0
2022-07-07 02:20:00,0.0
2022-07-07 02:30:00,0.0
2022-07-07 02:40:00,0.0
2022-07-07 02:50:00,0.0
2022-07-07 03:00:00,0.0
2022-07-07 03:10:00,0.0
2022-07-07 03:20:00,0.0
2022-07-07 03:30:00,0.0
2022-07-07 03:40:00,0.0
